6358	Marco	tt0070371	1973
6368	Star Wars: Episode I - The Phantom Menace	tt0120915	1999
6378	Star Wars: Episode III - Revenge of the Sith	tt0121766	2005
6388	The Last Days of Chez Nous	tt0104685	1992
6398	Vengeance Is Mine	tt0079182	1979
6408	Words Upon the Window Pane	tt0111745	1994
6418	The Dominici Affair	tt0068176	1973
6428	Frequency	tt0186151	2000
6438	Sunset Park	tt0117784	1996
6448	The Girl Who Forgot	tt0031368	1940
6458	Dream Wife	tt0045706	1953
6468	Meet Me at Dawn	tt0039616	1947
6478	Sense and Sensibility	tt0114388	1995
6488	Hawks	tt0097487	1988
6498	The Devil Is a Woman	tt0073733	1973
6508	Diamond in the Rough	tt3575782	1988
6518	The Jungle Book	tt0110213	1994
6528	Mountains of the Moon	tt0100196	1990
6538	The Bridge	tt0103881	1992
6548	Monty Python and the Holy Grail	tt0071853	1975
6558	The Long Rain	tt0982894	2000
6568	Boyhood	tt0044029	1951
6578	Esupai	tt0071474	1974
6588	Hiruko the Goblin	tt0100991	1991
6598	The Rainbow	tt0098165	1989
6608	Doctor Zhivago	tt0059113	1965
6618	The Men's Club	tt0091508	1986
6628	Rivals	tt0069185	1972
6638	The Bad News Bears in Breaking Training	tt0075718	1977
6648	13	tt0798817	2010
6658	The Purple Hills	tt0055343	1961
6668	Les lions	tt0019102	1928
6678	È l'amor che mi rovina	tt0044226	1951
6688	Francis in the Navy	tt0048092	1955
6698	Station West	tt0040835	1948
6708	I Love You, Don't Touch Me!	tt0130019	1997
6718	1969	tt0094594	1988
6728	Friends, Lovers, & Lunatics	tt0097389	1989
6738	Speedway	tt0063634	1968
6748	The Mighty McGurk	tt0038739	1947
6758	The Hotel Manor Inn	tt0119321	1997
6768	Godzilla	tt0120685	1998
6778	Grief	tt0107045	1993
6788	Save the Last Dance	tt0206275	2001
6798	The Incredibly True Adventure of Two Girls in Love	tt0113416	1995
6808	Wired	tt0098660	1989
6818	The Mighty	tt0119670	1998
6828	Swedish Portraits	tt0058627	1964
6838	The Vicious Circle	tt0062075	1967
6848	The Ticket of Leave Man	tt0029671	1937
6858	Alibi	tt0021598	1931
6868	Gert and Daisy's Weekend	tt0033658	1942
6878	Caravan	tt0037578	1946
6888	Debt of Honour	tt0027507	1936
6898	Arms and the Woman	tt0006371	1916
6908	Reunion in Vienna	tt0024496	1933
6918	Thursday's Child	tt0035441	1943
6928	Miss Nobody	tt0017160	1926
6938	Day of Triumph	tt0046895	1954
6948	Daughter of Darkness	tt0040273	1948
6958	Murder in the Big House	tt0035098	1942
6968	Kill Her Gently	tt0050593	1957
6978	Paul Temple's Triumph	tt0042835	1950
6988	The Umbrella	tt0024714	1933
6998	A House Divided	tt0021978	1931
7008	Tough Luck	tt0376263	2003
7018	The Secret Life of Hernando Cortez	tt0064951	1969
7028	Six Ways to Sunday	tt0127288	1997
7038	The Model and the Marriage Broker	tt0043813	1951
7048	The Virgin President	tt0063783	1969
7058	Late Extra	tt0026610	1935
7068	Ski Troop Attack	tt0054315	1960
7078	María Dolores	tt0044889	1953
7088	The Shanghai Drama	tt0028809	1938
7098	The Men	tt0042727	1950
7108	The Dark Corner	tt0038453	1946
7118	The Steel Jungle	tt0047525	1956
7128	Don't Bother to Knock	tt0044557	1952
7138	The Lady Pays Off	tt0043720	1951
7148	Home from the Hill	tt0053917	1960
6019	Class Action	tt0101590	1991
6029	Up in Smoke	tt0078446	1978
6039	Patricia	tt0081315	1981
6049	Altered States	tt0080360	1980
6059	Memphis Belle	tt0100133	1990
6069	The Gospel According to Vic	tt0089221	1986
6079	Morgan!	tt0060714	1966
6089	Death Game	tt0075921	1977
6099	The Ceremony	tt0056918	1963
6109	The Van	tt0075378	1977
6119	Four Weddings and a Funeral	tt0109831	1994
6129	Joanna	tt0063157	1968
6139	A Thousand Clowns	tt0059798	1965
6149	Work Is a 4-Letter Word	tt0062503	1968
6159	Mutiny on the Bounty	tt0056264	1962
6169	Melvin and Howard	tt0081150	1980
6179	Red Dawn	tt0087985	1984
6189	Catch-22	tt0065528	1970
6199	Downhill Racer	tt0064253	1969
6209	Aliw	tt0078752	1979
6219	The Heart Is a Lonely Hunter	tt0063050	1968
6229	Where It's At	tt0065208	1969
6239	So Evil, So Young	tt0055459	1961
6249	Chu Chu and the Philly Flash	tt0082177	1981
6259	Wait Until Dark	tt0062467	1967
6269	Crossroads	tt0090888	1986
6279	Funny Farm	tt0095188	1988
6289	Butch and Sundance: The Early Days	tt0078919	1979
6299	Greetings	tt0063036	1968
6309	Happy Anniversary	tt0052878	1959
6319	Over-Exposed	tt0049587	1956
6329	Sabu and the Magic Ring	tt0050921	1957
6339	Cry, the Beloved Country	tt0043436	1951
6349	Bigger Than Life	tt0049010	1956
6359	Breaking Away	tt0078902	1979
6369	Star Wars: Episode II - Attack of the Clones	tt0121765	2002
6379	Awake	tt0211933	2007
6389	Friends	tt0106968	1993
6399	Why Not?	tt0082313	1981
6409	Bullshot Crummond	tt0085279	1983
6419	Nathalie Granger	tt0068991	1972
6429	The Wild Angels	tt0061189	1966
6439	Spark	tt0159765	1998
6449	For Those in Peril	tt0036834	1944
6459	The Law vs. Billy the Kid	tt0047163	1954
6469	Forbidden	tt0040365	1949
6479	Hamlet	tt0116477	1996
6489	Wuthering Heights	tt0104181	1992
6499	It Shouldn't Happen to a Vet	tt0079353	1976
6509	Jump the Gun	tt0119430	1997
6519	After the Rain	tt0202782	1999
6529	Undercover Blues	tt0108442	1993
6539	Spoiled Children	tt0075933	1977
6549	Monty Python Live at the Hollywood Bowl	tt0084352	1982
6559	Meine Tochter und ich	tt0057299	1963
6569	Sword for Hire	tt0045137	1952
6579	Himiko	tt0071609	1974
6589	Four Seasons: Natsuko	tt0081503	1980
6599	Horseplayer	tt0099796	1990
6609	Crime on a Summer Morning	tt0059562	1965
6619	Maniac	tt0081114	1980
6629	Love and the Midnight Auto Supply	tt0077872	1977
6639	The Bad News Bears Go to Japan	tt0077199	1978
6649	American Graffiti	tt0069704	1973
6659	The Moving Finger	tt0213895	1963
6669	Ohé! Les valises	tt0019228	1928
6679	Last Love	tt0040283	1949
6689	Rebel Without a Cause	tt0048545	1955
6699	So Dear to My Heart	tt0041890	1948
6709	The Legend of Billie Jean	tt0089470	1985
6719	Repórter X	tt0091843	1987
6729	Malarek	tt0097818	1988
6739	The Rebel Rousers	tt0066286	1970
6749	The Arnelo Affair	tt0039160	1947
6759	The LaMastas	tt0226924	1998
6769	Transit	tt2006294	\N
6779	Limit Up	tt0097755	1989
6789	Diamond Ruff	tt2111292	2015
6799	Loving Jezebel	tt0174885	1999
6809	The Rain Killer	tt0102750	1990
6819	Cheats	tt0250292	2002
6829	Att angöra en brygga	tt0058926	1965
6839	The Softening of the Egg	tt0073946	1975
6849	The Poisoned Diamond	tt0025659	1933
6859	Black Coffee	tt0021669	1931
6869	Othello	tt0038812	1946
6879	Night of the Silvery Moon	tt0047280	1954
6889	Ourselves Alone	tt0028071	1936
6899	The Hole in the Wall	tt0019992	1929
6909	Captain Hurricane	tt0026176	1935
6919	The Lamp Still Burns	tt0036095	1943
6929	Old Loves and New	tt0017227	1926
6939	Music Man	tt0040621	1948
6949	Nightbeat	tt0040642	1947
6959	Dr. Gillespie's Criminal Case	tt0035826	1943
6969	Black Tide	tt0051013	1958
6979	The Big Frame	tt0044850	1952
